PathwayID,PathwayName,Enrichment FDR,nGenes,Pathway Genes,Fold Enrichment,URL,Genes
hsa04217,Necroptosis,6.28E-25,74,159,3.641935317,http://www.genome.jp/kegg-bin/show_pathway?hsa04217 , DNM1L  NLRP3  PARP1  TICAM1  CYBB  PGAM5  MLKL  FTH1  FTL  CHMP2A  GLUD1  GLUL  SLC25A4  PYCARD  HMGB1  BIRC3  XIAP  HSP90AA1  IFNA1  IFNA5  IFNA17  IFNAR1  IFNAR2  IFNB1  IFNG  IFNGR1  TICAM2  FAS  IL1A  IL1B  FASLG  JAK1  JAK2  JAK3  PLA2G4A  PPIA  PPID  TRPM7  MAPK8  MAPK9  MAPK10  EIF2AK2  BAX  PYGM  BCL2  SMPD1  STAT1  STAT2  STAT3  STAT4  STAT5A  STAT5B  STAT6  TLR3  TLR4  TNFAIP3  TNFRSF1A  TRAF2  TRAF5  TYK2  ZBP1  CAMK2A  CAMK2G  CAPN1  CASP1  CASP8  RIPK1  TNFSF10  FADD  TNFRSF10B  TNFRSF10A  CFLAR  IL33  AIFM1
hsa04915,Estrogen signaling pathway,1.22E-21,64,138,3.629096532,http://www.genome.jp/kegg-bin/show_pathway?hsa04915 , ADCY1  ADCY2  ADCY7  CREB1  ATF2  CTSD  HBEGF  EGFR  AKT1  AKT2  ESR1  ESR2  FKBP5  PLCB1  FOS  SHC2  GNAI3  GNAO1  GNAQ  GNAS  GRB2  HSPA8  HSP90AA1  ITPR1  JUN  KCNJ3  KCNJ5  KCNJ6  KRAS  KRT10  KRT13  KRT14  KRT15  KRT16  KRT17  KRT18  KRT19  MMP2  MMP9  ATF4  NOS3  NRAS  OPRM1  PGR  PIK3CA  PIK3R1  PIK3R2  POMC  MAPK1  MAPK3  MAP2K1  RAF1  RARA  BCL2  SHC1  SOS1  SP1  SRC  TFF1  TGFA  HSP90B1  CALML3  PIK3R3  KRT38
hsa04720,Long-term potentiation,4.14E-11,31,67,3.620633154,http://www.genome.jp/kegg-bin/show_pathway?hsa04720 , ADCY1  CREBBP  EP300  PLCB1  GNAQ  GRIA1  GRIA2  GRIN1  GRIN2A  GRIN2B  GRIN2C  GRM5  ARAF  ITPR1  KRAS  ATF4  NRAS  PPP1CA  PPP3CA  PRKCA  PRKCG  MAPK1  MAPK3  MAP2K1  RAF1  RAP1A  BRAF  CALML3  CAMK4  CAMK2A  CAMK2G
hsa05120,Epithelial cell signaling in Helicobacter pylori infection,2.97E-11,32,70,3.577252296,http://www.genome.jp/kegg-bin/show_pathway?hsa05120 , NOD1  CHUK  MAPK14  CSK  HBEGF  EGFR  CXCL1  CXCL2  IKBKB  CXCL8  CXCR2  JUN  LYN  MET  NFKB1  NFKBIA  PAK1  F11R  PLCG1  PLCG2  MAPK8  MAPK11  MAPK9  MAPK10  PTPN11  PTPRZ1  RELA  MAP2K4  SRC  ADAM17  CASP3  IKBKG
hsa05207,Chemical carcinogenesis-receptor activation,2.52E-29,90,197,3.574982466,http://www.genome.jp/kegg-bin/show_pathway?hsa05207 , ADCY1  ADCY2  ADCY7  CHRNA3  CHRNB4  CREB1  ATF2  ADRB2  CYP1A1  CYP1A2  CYP1B1  ADRB3  CYP2B6  CYP3A4  JAG1  EGF  EGFR  AHR  EIF4EBP1  EPHX1  EPHX2  AKT1  AKT2  ESR1  ESR2  FGF2  FGF4  FGF7  FGF9  FGF10  FOS  GNAI3  GNAS  GRB2  GSTA1  GSTM1  GSTM3  XIAP  BIRC5  HSP90AA1  AR  JAK2  JUN  KRAS  ARNT  MYC  ATF4  NFKB1  NOTCH2  NRAS  PGR  PIK3CA  PIK3R1  PIK3R2  DLL4  UGT1A9  PPARA  UGT1A4  UGT1A1  UGT1A3  CHRNA9  PRKCA  PRKCG  MAPK1  MAPK3  MAP2K1  BAD  RAF1  RB1  CCND1  BCL2  RELA  BCL6  RPS6KB1  RXRA  SOS1  SRC  STAT3  STAT5A  STAT5B  KLF5  HSP90B1  VDR  VEGFA  WNT1  CACNA1A  PIK3R3  TNFSF11  CCND3  KLF4
hsa04071,Sphingolipid signaling pathway,6.39E-18,54,119,3.550948971,http://www.genome.jp/kegg-bin/show_pathway?hsa04071 , MAPK14  CTSD  SGMS2  S1PR1  S1PR3  AKT1  AKT2  PLCB1  GNAI3  GNAQ  KNG1  KRAS  RHOA  MAP3K5  NFKB1  NOS3  NRAS  OPRD1  PDPK1  PIK3CA  PIK3R1  PIK3R2  PLD1  PLD2  S1PR5  PPP2CA  PRKCA  PRKCG  PRKCZ  MAPK1  MAPK3  MAPK8  MAPK11  MAPK9  MAPK10  MAP2K1  ASAH2  BAX  RAC2  RAF1  BCL2  RELA  ROCK1  BDKRB2  SMPD1  SMPD2  TNFRSF1A  TP53  TRAF2  PIK3R3  DEGS1  SPHK1  S1PR2  ROCK2
hsa04666,Fc gamma R-mediated phagocytosis,7.78E-15,44,97,3.549593129,http://www.genome.jp/kegg-bin/show_pathway?hsa04666 , ACTR2  VAV3  CRK  CRKL  AKT1  AKT2  FCGR1A  FCGR2A  FCGR2B  FCGR3A  FCGR3B  AMPH  BIN1  HCK  INPPL1  LIMK1  LIMK2  LYN  MARCKS  PAK1  PIK3CA  PIK3R1  PIK3R2  PLA2G4A  PLCG1  PLCG2  PLD1  PLD2  PRKCA  PRKCG  MAPK1  MAPK3  MAP2K1  RAC2  RAF1  RPS6KB1  MARCKSL1  NCF1  SYK  WAS  PLA2G6  PIK3R3  PLPP1  SPHK1
hsa04932,Non-alcoholic fatty liver disease,1.03E-22,70,155,3.533979083,http://www.genome.jp/kegg-bin/show_pathway?hsa04932 , BCL2L11  CEBPA  COX4I1  COX8A  MAPK14  CYP2E1  EIF2S1  AKT1  AKT2  ERN1  FOS  GSK3A  GSK3B  FAS  IKBKB  IL1A  IL1B  FASLG  IL6  IL6R  CXCL8  INS  INSR  IRS1  JUN  LEP  LEPR  MAP3K5  MAP3K11  MT-CO1  MT-CO2  MT-CYB  ATF4  NDUFA5  NDUFAB1  NFKB1  MLXIPL  ADIPOR1  PIK3CA  PIK3R1  PIK3R2  CYCS  PPARA  PPARG  PRKAA1  PRKAA2  MAPK8  MAPK11  MAPK9  MAPK10  BAX  RELA  RXRA  SDHA  SDHB  SDHC  SREBF1  TGFB1  TNFRSF1A  TRAF2  UQCRC2  XBP1  CASP3  CASP7  CASP8  PIK3R3  IRS2  SOCS3  ADIPOQ  EIF2AK3
hsa04913,Ovarian steroidogenesis,2.66E-08,23,51,3.529029532,http://www.genome.jp/kegg-bin/show_pathway?hsa04913 , ADCY1  ADCY2  ADCY7  CYP1A1  CYP1B1  CYP17A1  CYP19A1  FSHB  FSHR  GNAS  HSD3B1  IGF1  IGF1R  INS  INSR  LDLR  LHB  LHCGR  PLA2G4A  PTGS2  ACOT1  BMP6  STAR
hsa04140,Autophagy-animal,2.81E-20,63,141,3.496383561,http://www.genome.jp/kegg-bin/show_pathway?hsa04140 , TANK  ATG7  CAMKK2  RRAGA  CTSD  DAPK1  EIF2S1  AKT1  AKT2  ERN1  TBK1  PIK3R4  HIF1A  HMGB1  IGBP1  IGF1R  INS  IRS1  ITPR1  KRAS  LAMP1  LAMP2  EIF2AK4  NRAS  PDPK1  PIK3CA  PIK3R1  PIK3R2  DDIT4  PPP2CA  PRKAA1  PRKAA2  MAPK1  MAPK3  MAPK8  MAPK9  MAPK10  MAP2K1  BAD  RAF1  BCL2  BCL2L1  RPS6KB1  ATG3  STK11  MAP3K7  TRAF6  TSC1  TSC2  RAB7A  MAP1LC3B  RAB33B  ULK1  MAP1LC3A  PIK3R3  IRS2  VAMP8  BECN1  CFLAR  ATG16L2  ATG12  EIF2AK3  ATG5
hsa00620,Pyruvate metabolism,1.32E-07,21,47,3.496383561,http://www.genome.jp/kegg-bin/show_pathway?hsa00620 , ADH1A  ADH1B  ADH1C  ADH4  ADH5  ADH7  DLAT  DLD  ALDH2  GLO1  HAGH  LDHC  MDH2  ME1  ALDH7A1  PC  PDHA1  PDHB  PKM  ACSS2  GRHPR
hsa04152,AMPK signaling pathway,1.58E-17,54,121,3.492255599,http://www.genome.jp/kegg-bin/show_pathway?hsa04152 , CAMKK2  CFTR  PPARGC1A  CPT1A  CREB1  ADRA1A  EIF4EBP1  ELAVL1  CRTC2  AKT1  AKT2  FASN  FBP1  FOXO1  FOXO3  SIRT1  GYS1  HMGCR  HNF4A  IGF1  IGF1R  INS  INSR  IRS1  LEP  LEPR  LIPE  ADIPOR1  PDPK1  PFKFB2  PFKFB3  PFKM  PIK3CA  PIK3R1  PIK3R2  PPARG  PPP2CA  PRKAA1  PRKAA2  CCND1  RPS6KB1  SCD  SREBF1  STK11  MAP3K7  TSC1  TSC2  SCD5  ULK1  PIK3R3  IRS2  CCNA2  ADIPOQ  CD36
hsa04072,Phospholipase D signaling pathway,2.14E-20,65,148,3.436760546,http://www.genome.jp/kegg-bin/show_pathway?hsa04072 , RAPGEF3  ADCY1  ADCY2  RAPGEF4  ADCY7  DGKQ  AGT  AGTR1  LPAR1  EGF  EGFR  AKT1  AKT2  F2  F2R  PTK2B  PLCB1  GAB1  SHC2  DNM3  GNAS  GRB2  GRM3  GRM5  CXCL8  CXCR2  INS  INSR  ARF1  KIT  KRAS  RHOA  KITLG  NRAS  PDGFA  PDGFB  PDGFRA  PDGFRB  PIK3CA  PIK3CG  PIK3R1  PIK3R2  PLA2G4A  PLCG1  PLCG2  PLD1  PLD2  AVP  AVPR2  PRKCA  MAPK1  MAPK3  PDGFC  MAP2K1  PTPN11  RAF1  RALA  SHC1  SOS1  SYK  TSC1  TSC2  PIK3R3  PLPP1  SPHK1
hsa00360,Phenylalanine metabolism,0.003137754,7,16,3.423542237,http://www.genome.jp/kegg-bin/show_pathway?hsa00360 , DDC  ALDH3A1  HPD  MAOA  MAOB  PAH  TAT
hsa05416,Viral myocarditis,8.81E-09,26,60,3.390937073,http://www.genome.jp/kegg-bin/show_pathway?hsa05416 , CXADR  CD55  DAG1  DMD  ABL1  ABL2  LAMA1  ICAM1  ITGAL  ITGB2  MYH6  MYH7  CYCS  PRF1  RAC2  CCND1  ACTB  SGCB  CASP3  CASP8  CASP9  CAV1  CD28  CD80  CD86  CD40
hsa00010,Glycolysis/Gluconeogenesis,1.24E-09,29,67,3.387043919,http://www.genome.jp/kegg-bin/show_pathway?hsa00010 , ADH1A  ADH1B  ADH1C  ADH4  ADH5  ADH7  DLAT  DLD  ENO1  ENO2  ALDH2  ALDH3A1  FBP1  ALDOB  GAPDH  GCK  HK2  LDHC  ALDH7A1  PDHA1  PDHB  PFKM  PGAM2  PGK1  PKM  ACSS2  BPGM  TPI1  HKDC1
hsa04927,Cortisol synthesis and secretion,2.68E-09,28,65,3.370872356,http://www.genome.jp/kegg-bin/show_pathway?hsa04927 , ADCY1  ADCY2  ADCY7  CREB1  ATF2  CYP11B1  CYP17A1  AGT  AGTR1  NR0B1  PLCB1  NR5A1  GNAQ  GNAS  NR4A1  HSD3B1  ITPR1  KCNA4  KCNK3  LDLR  MC2R  ATF4  PBX1  POMC  SP1  STAR  ORAI1  SCARB1
hsa04390,Hippo signaling pathway,3.58E-20,67,157,3.339433374,http://www.genome.jp/kegg-bin/show_pathway?hsa04390 , YAP1  YWHAQ  RASSF1  CSNK1D  CSNK1E  CTNNA1  CTNNB1  AFP  DLG4  DVL1  FGF1  CRB1  WWTR1  AMH  BBC3  GLI2  GSK3B  APC  BIRC3  BIRC5  ID1  ID2  ITGB2  AREG  SMAD1  SMAD2  SMAD3  SMAD4  SMAD7  MYC  NF2  SERPINE1  PARD6A  LEF1  PPP1CA  PPP2CA  PRKCZ  CCND1  ACTB  SAV1  BMP2  BMP4  BMP5  BMP6  BMP7  BMP8B  BMPR1A  BMPR2  SNAI2  SOX2  TCF7  TCF7L2  TEAD4  TGFB1  TGFB2  TGFB3  TGFBR1  TGFBR2  TP73  WNT1  WNT5A  WNT10B  WNT11  WNT10A  CCND2  BTRC  CCND3
hsa05171,Coronavirus disease-COVID-19,3.20E-29,99,232,3.339218536,http://www.genome.jp/kegg-bin/show_pathway?hsa05171 , ADAR  MASP2  NLRP3  CHUK  MAPK14  CSF2  CSF3  CYBB  ACE  HBEGF  AGTR1  EGFR  F2  F13A1  FCGR2A  FGA  FGB  FGG  FOS  DDX58  TBK1  IFNA1  IFNA5  IFNA17  IFNAR1  IFNAR2  IFNB1  IKBKB  IL1B  IL2  IL6  IL6R  IL6ST  CXCL8  IL12A  IL12B  CXCL10  IRAK1  IRF3  JAK1  JUN  MAS1  MBL2  MMP1  MMP3  MX1  MX2  MYD88  NFKB1  NFKBIA  IRAK4  TLR7  TLR8  PIK3CA  PIK3R1  PIK3R2  PLCG1  PLCG2  PRKCA  PRKCG  MAPK1  MAPK3  MAPK8  MAPK11  MAPK9  MAPK10  EIF2AK2  MASP1  ACE2  RELA  RPL22  RPLP1  RPLP2  RPS27A  CCL2  SELP  IFIH1  STAT1  STAT2  STAT3  SYK  ADAM17  MAP3K7  TLR2  TLR3  TLR4  TMPRSS2  TNFRSF1A  C1S  TRAF3  TRAF6  C5AR1  TYK2  VWF  CASP1  PIK3R3  IKBKG  NRP1  ISG15
hsa04550,Signaling pathways regulating pluripotency of stem cells,1.90E-18,61,143,3.338039184,http://www.genome.jp/kegg-bin/show_pathway?hsa04550 , MAPK14  CTNNB1  DVL1  AKT1  AKT2  ESRRB  FGF2  FGFR1  FGFR3  FGFR2  FGFR4  GRB2  GSK3B  APC  ID1  ID2  IGF1  IGF1R  IL6ST  INHBA  JAK1  JAK2  JAK3  KRAS  LIF  LIFR  SMAD1  SMAD2  SMAD3  SMAD4  SMAD5  MEIS1  MYC  NRAS  PIK3CA  PIK3R1  PIK3R2  MAPK1  MAPK3  MAPK11  MAP2K1  RAF1  REST  BMI1  SKIL  BMP4  BMPR1A  BMPR2  SOX2  STAT3  TCF3  TCF7  WNT1  WNT5A  WNT10B  WNT11  NANOG  WNT10A  INHBE  PIK3R3  KLF4
hsa05203,Viral carcinogenesis,1.99E-25,86,202,3.331537566,http://www.genome.jp/kegg-bin/show_pathway?hsa05203 , CDK2  CDK4  CDK6  CDKN1A  CDKN1B  CDKN2A  CDKN2B  YWHAQ  GTF2A1L  CHD4  CCR3  CCR4  CCR5  CCR8  CREB1  ATF2  CREBBP  DDB1  DDX3X  EGR2  EGR3  EP300  SND1  GRB2  GTF2A1  HDAC1  HDAC2  HNRNPK  HPN  IL6ST  IRF3  JAK1  JAK3  JUN  KRAS  RHOA  LTBR  LYN  MDM2  ATF4  NFKB1  NFKB2  NFKBIA  NRAS  PIK3CA  PIK3R1  PIK3R2  PKM  PMAIP1  POLB  MAPK1  MAPK3  EIF2AK2  BAD  BAK1  BAX  PXN  RB1  RBL2  CCND1  REL  RELA  SP100  SRC  STAT3  STAT5A  STAT5B  SYK  TP53  TRAF1  TRAF2  TRAF3  TRAF5  USP7  CASP3  CASP8  PIK3R3  IKBKG  HDAC3  CCNA2  CCND2  CCND3  MAPKAPK2  TBPL1  HDAC9  CDK1
hsa00790,Folate biosynthesis,0.00027601,11,26,3.310678207,http://www.genome.jp/kegg-bin/show_pathway?hsa00790 , TPH2  DHFR  AKR1B1  ALPI  ALPL  ALPP  GCH1  PAH  TH  TPH1  CBR1
hsa04724,Glutamatergic synapse,1.51E-14,48,114,3.294837641,http://www.genome.jp/kegg-bin/show_pathway?hsa04724 , ADCY1  ADCY2  ADCY7  GRK2  GRK3  DLG4  PLCB1  SLC17A8  GLS2  GLS  GLUL  GNAI3  GNAO1  GNAQ  GNAS  GRIA1  GRIA2  GRIA3  GRIA4  GRIK1  GRIK2  GRIK4  GRIK5  GRIN1  GRIN2A  GRIN2B  GRIN2C  GRM3  GRM5  ITPR1  KCNJ3  PLA2G4A  PLD1  PLD2  SLC38A2  PPP3CA  PRKCA  PRKCG  MAPK1  MAPK3  SLC17A7  SLC17A6  SLC1A1  SLC1A2  SLC1A3  TRPC1  CACNA1A  HOMER2
hsa04540,Gap junction,1.75E-11,37,88,3.290157474,http://www.genome.jp/kegg-bin/show_pathway?hsa04540 , ADCY1  ADCY2  ADCY7  CSNK1D  DRD1  DRD2  LPAR1  EGF  EGFR  PLCB1  GJA1  GNAI3  GNAQ  GNAS  GRB2  GRM5  HTR2A  HTR2B  ITPR1  KRAS  NRAS  PDGFA  PDGFB  PDGFRA  PDGFRB  PRKCA  PRKCG  PRKG1  MAPK1  MAPK3  MAPK7  PDGFC  MAP2K1  GJD2  RAF1  SOS1  SRC
hsa04726,Serotonergic synapse,3.35E-14,47,112,3.283805819,http://www.genome.jp/kegg-bin/show_pathway?hsa04726 , RAPGEF3  TPH2  CYP2C19  CYP2C8  CYP2C9  DDC  DUSP1  PLCB1  GNAI3  GNAO1  GNAQ  GNAS  HTR1A  HTR1B  HTR1D  HTR2A  HTR2B  HTR3A  HTR4  HTR7  APP  ARAF  ITPR1  KCND2  KCNJ3  KCNJ5  KCNJ6  KRAS  MAOA  MAOB  NRAS  PLA2G4A  PRKCA  PRKCG  MAPK1  MAPK3  MAP2K1  PTGS1  PTGS2  RAF1  SLC6A4  SLC18A2  BRAF  TPH1  TRPC1  CACNA1A  CASP3
hsa04911,Insulin secretion,3.82E-11,36,86,3.275681609,http://www.genome.jp/kegg-bin/show_pathway?hsa04911 , ADCY1  ADCY2  RAPGEF4  ADCY7  ADCYAP1  ADCYAP1R1  CREB1  ATF2  PLCB1  GCG  GCK  GIP  GLP1R  GNAQ  GNAS  INS  PDX1  KCNJ11  KCNN1  KCNN4  ATF4  ATP1A3  ATP1B1  TRPM4  PRKCA  PRKCG  RYR2  SLC2A1  SLC2A2  SNAP25  ABCC8  VAMP2  CAMK2A  CAMK2G  CCK  CCKAR
hsa04916,Melanogenesis,1.13E-12,42,101,3.254059948,http://www.genome.jp/kegg-bin/show_pathway?hsa04916 , ADCY1  ADCY2  ADCY7  CREB1  CREBBP  CTNNB1  DCT  DVL1  EDN1  EDNRB  EP300  PLCB1  GNAI3  GNAO1  GNAQ  GNAS  GSK3B  KIT  KRAS  KITLG  MITF  NRAS  LEF1  POMC  PRKCA  PRKCG  MAPK1  MAPK3  MAP2K1  RAF1  TCF7  TCF7L2  TYR  TYRP1  WNT1  WNT5A  WNT10B  WNT11  WNT10A  CALML3  CAMK2A  CAMK2G
hsa05165,Human papillomavirus infection,3.13E-38,137,331,3.23884531,http://www.genome.jp/kegg-bin/show_pathway?hsa05165 , CDK2  CDK4  CDK6  CDKN1A  CDKN1B  CHD4  CHUK  COL1A1  COL1A2  COL2A1  COL4A1  COL4A2  COL4A3  COL4A4  COL4A5  COL4A6  COL6A1  COL9A3  COMP  CREB1  CREBBP  TICAM1  CTNNB1  JAG1  DVL1  EGF  EGFR  EIF4EBP1  EP300  AKT1  AKT2  FOXO1  FN1  GNAS  LAMA1  GRB2  TBK1  GSK3B  HDAC1  HDAC2  APC  HES1  TNC  IBSP  IFNA1  IFNA5  IFNA17  IFNAR1  IFNAR2  IFNB1  FAS  IKBKB  FASLG  ITGA6  IRF1  IRF3  ITGA1  ITGA2  ITGA2B  ITGA4  ITGA5  ITGB1  ITGB3  JAK1  KRAS  LAMA3  LAMC2  MDM2  MX1  MX2  ATM  NFKB1  NOTCH1  NOTCH2  NOTCH3  NRAS  PARD6A  PDGFRB  PIK3CA  PIK3R1  PIK3R2  PKM  ATR  PPP2CA  PRKCZ  MAPK1  MAPK3  MAP2K1  EIF2AK2  PSEN1  BAD  PTGER4  PTGS2  PTK2  BAK1  BAX  PXN  RAF1  RB1  RBL2  CCND1  RELA  RPS6KB1  SOS1  SPP1  STAT1  STAT2  TCF7  TCF7L2  TERT  THBS1  TLR3  TNFRSF1A  TNR  TP53  TRAF3  TSC1  TSC2  TYK2  VEGFA  VTN  VWF  WNT1  WNT5A  WNT10B  WNT11  WNT10A  CASP3  CASP8  PIK3R3  IKBKG  FADD  CCNA2  CCND2  CCND3  TBPL1  ISG15
hsa04918,Thyroid hormone synthesis,1.28E-09,31,75,3.234432285,http://www.genome.jp/kegg-bin/show_pathway?hsa04918 , ADCY1  ADCY2  ADCY7  CREB1  ATF2  ALB  PLCB1  GNAQ  GNAS  GPX1  GPX2  GPX3  GSR  HSPA5  ITPR1  LRP2  ATF4  ATP1A3  ATP1B1  DUOX2  SLC26A4  DUOX1  PRKCA  PRKCG  SLC5A5  SERPINA7  TG  HSP90B1  TSHB  TSHR  TTR
hsa04934,Cushing syndrome,1.98E-18,64,155,3.23106659,http://www.genome.jp/kegg-bin/show_pathway?hsa04934 , CDK4  CDK6  CDKN1A  CDKN1B  CDKN2A  CDKN2B  CDKN2C  ADCY1  ADCY2  ADCY7  CREB1  ATF2  CRH  CRHR2  CTNNB1  CYP11B1  CYP17A1  AGT  AGTR1  DVL1  E2F3  EGFR  AHR  PLCB1  NR5A1  GNAI3  GNAQ  GNAS  GSK3B  NR4A1  APC  HSD3B1  ITPR1  KCNA4  KCNK3  LDLR  ARNT  MC2R  MEN1  ATF4  PBX1  LEF1  POMC  MAPK1  MAPK3  MAP2K1  RAP1A  RB1  CCND1  SP1  BRAF  STAR  TCF7  TCF7L2  WNT1  WNT5A  WNT10B  WNT11  WNT10A  CAMK2A  CAMK2G  ORAI1  USP8  SCARB1
hsa00910,Nitrogen metabolism,0.004672525,7,17,3.222157399,http://www.genome.jp/kegg-bin/show_pathway?hsa00910 , CPS1  GLUD1  GLUL  CA1  CA2  CA3  CA4
hsa05131,Shigellosis,3.71E-28,101,246,3.212801541,http://www.genome.jp/kegg-bin/show_pathway?hsa05131 , ACTR2  U2AF1  TNIP1  NOD1  RRAGA  MALT1  NLRP3  CHUK  CRK  CRKL  MAPK14  CSF2  EGFR  AKT1  AKT2  FNBP1  FOXO1  FOXO3  PLCB1  PYCARD  TBK1  GSK3A  GSK3B  PIK3R4  HK2  IFNB1  IKBKB  IL1B  IL1R1  CXCL8  IL18  ILK  IRF3  ITGA5  ITGB1  ITPR1  JUN  ARF1  RHOA  MDM2  FOXO4  MYD88  MYL2  ATM  NFKB1  NFKBIA  PFN1  PIK3CA  PIK3R1  PIK3R2  PLCG1  PLCG2  CYCS  PPID  MAPK1  MAPK3  MAPK8  MAPK11  MAPK9  MAPK10  PTK2  BAX  PXN  NLRC4  BCL2  RELA  BCL2L1  ACTB  ROCK1  RPS6KB1  RPS27A  SRC  MAP3K7  TLR4  TLR5  TNFRSF1A  TP53  TRAF2  TRAF5  TRAF6  VCL  HKDC1  MAP1LC3B  CAPN1  CAST  CASP1  CASP4  MAP1LC3A  PIK3R3  IKBKG  BECN1  RIPK1  RIPK2  BCL10  BTRC  ATG12  ARHGEF2  CD14  ATG5  ROCK2  CD44
hsa05208,Chemical carcinogenesis-reactive oxygen species,3.03E-25,91,223,3.193259127,http://www.genome.jp/kegg-bin/show_pathway?hsa05208 , PPIF  AKR1A1  SLC26A1  CHUK  SLC26A9  COX4I1  COX8A  MAPK14  CYBA  CYP1A1  CYP1A2  CYP1B1  CYP2E1  NQO1  EGF  EGFR  AHR  EPHX1  EPHX2  AKT1  AKT2  FOXO3  FOS  ABL1  ABL2  NOX1  GRB2  SLC25A4  GSTA1  GSTM1  GSTM3  HGF  HIF1A  HMOX1  IKBKB  ARAF  JUN  KRAS  LPO  ARNT  MAP3K5  MET  MT-ATP6  MT-CO1  MT-CO2  MT-CYB  NCF2  NDUFA5  NDUFAB1  NFE2L2  NFKB1  NFKBIA  NRAS  NOX4  PDPK1  PIK3CA  PIK3R1  PIK3R2  PLD1  PLD2  PRKD1  MAPK1  MAPK3  MAPK8  MAPK11  MAPK9  MAPK10  MAP2K1  BAD  AS3MT  PTK2  PTPN1  PTPN11  RAF1  RELA  SDHA  SDHB  SDHC  MAP2K4  NCF1  SOD1  SOD2  SOS1  SRC  BRAF  UQCRC2  VEGFA  CAT  PIK3R3  IKBKG  CBR1
hsa04810,Regulation of actin cytoskeleton,3.10E-24,88,217,3.173368972,http://www.genome.jp/kegg-bin/show_pathway?hsa04810 , ACTR2  VAV3  CHRM2  CRK  CRKL  LPAR1  EGF  EGFR  F2  F2R  FGF1  FGF2  FGF4  FGF7  FGF9  FGF10  FGFR1  FGFR3  FGFR2  FGFR4  FN1  FGF21  APC  INS  ITGA6  ITGA1  ITGA2  ITGA2B  ITGA4  ITGA5  ITGAE  ITGAL  ITGAM  ITGAX  ITGB1  ITGB2  ARAF  ITGB3  KNG1  KRAS  RHOA  LIMK1  LIMK2  MSN  MYH9  MYL2  MYLK  PPP1R12A  NRAS  PAK1  PAK3  PDGFA  PDGFB  PDGFRA  PDGFRB  PFN1  PIK3CA  PIK3R1  PIK3R2  PPP1CA  ENAH  MAPK1  MAPK3  PDGFC  MAP2K1  PTK2  PXN  RAC2  RAF1  ACTB  ROCK1  BDKRB1  BDKRB2  CXCL12  SLC9A1  SOS1  SRC  BRAF  VCL  CXCR4  MYH14  FGF23  PIK3R3  ARHGEF7  ARHGEF1  MYLK3  ROCK2  FGF19
hsa04110,Cell cycle,1.51E-14,51,126,3.167358804,http://www.genome.jp/kegg-bin/show_pathway?hsa04110 , CDK4  CDK6  CDKN1A  CDKN1B  CDKN2A  CDKN2B  CDKN2C  CDKN2D  MAD2L2  STAG2  GADD45G  YWHAQ  CHEK2  CREBBP  GADD45A  E2F3  EP300  ABL1  GSK3B  HDAC1  HDAC2  SMAD2  SMAD3  SMAD4  MDM2  MYC  GADD45B  ATM  PCNA  PLK1  ATR  PRKDC  RAD21  RB1  RBL2  CCND1  BUB1  TFDP2  TGFB1  TGFB2  TGFB3  TP53  WEE1  SMC1A  CCNA2  CCNB1  CCND2  CCND3  SMC3  CCNB2  CDK1
hsa04973,Carbohydrate digestion and absorption,3.25E-06,19,47,3.16339465,http://www.genome.jp/kegg-bin/show_pathway?hsa04973 , AKT1  AKT2  PLCB1  AMY1A  HK2  LCT  ATP1A3  ATP1B1  PIK3CA  PIK3R1  PIK3R2  SI  SLC2A2  SLC2A5  SLC5A1  HKDC1  TAS1R2  TAS1R3  PIK3R3
hsa01200,Carbon metabolism,4.98E-13,46,115,3.130095759,http://www.genome.jp/kegg-bin/show_pathway?hsa01200 , ADH5  CPS1  CS  DLAT  DLD  AGXT  ENO1  ENO2  ESD  FBP1  ALDOB  G6PD  GAPDH  PHGDH  GCK  GLUD1  PGP  GPT  HK2  IDH1  IDH2  IDH3B  MDH2  ME1  ACO1  OGDH  PC  ACOX1  PDHA1  PDHB  PFKM  PGAM2  PGD  PGK1  PKM  ACSS2  PSPH  SDHA  SDHB  SDHC  TKT  TPI1  HKDC1  CAT  SUCLG2  SUCLG1
hsa05410,Hypertrophic cardiomyopathy,1.74E-10,36,90,3.130095759,http://www.genome.jp/kegg-bin/show_pathway?hsa05410 , DAG1  ACE  DES  DMD  AGT  EDN1  LAMA1  IGF1  IL6  ITGA6  ITGA1  ITGA2  ITGA2B  ITGA4  ITGA5  ITGB1  ITGB3  LMNA  MYH6  MYH7  MYL2  ATP2A1  ATP2A2  ATP2A3  PRKAA1  PRKAA2  ACTB  RYR2  SGCB  ACTC1  TGFB1  TGFB2  TGFB3  TNNI3  TNNT2  TTN
hsa00232,Caffeine metabolism,0.149448497,2,5,3.130095759,http://www.genome.jp/kegg-bin/show_pathway?hsa00232 , CYP1A2  CYP2A6
